日期,當日成交量,當日成交金額,平均成交價,開盤價,最高價,最低價,收盤價,買賣價差,周轉率,當日融資,昨日融資,當日融券,昨日融券,融資變化,融券變化,殖利率,本益比,股價淨值比,大盤融資餘額(百萬),大盤融券量
2016/6/4,2631269,420392883,159.768113,160,160,159.5,160,-0.5,1428,12041,12067,3739,3812,-26,-73,3.75,14.2,3.24,12994.9943,360288
2016/6/6,28898951,4651663660,160.9630626,161,162,160,161,1,8667,11781,12041,3774,3739,-260,35,3.73,14.29,3.26,12967.5393,368731
2016/6/7,47573770,7726094806,162.402408,161.5,163.5,161,162,1,12269,11608,11781,4261,3774,-173,487,3.7,14.37,3.28,12935.208,379136
2016/6/8,45587946,7522713617,165.0154104,164,166,163.5,165.5,3.5,15173,11172,11608,4323,4261,-436,62,3.63,14.69,3.35,12945.7301,378743
2016/6/13,54689228,8843806836,161.7102153,161,162.5,161,162,-3.5,14466,11216,11172,3277,4323,44,-1046,3.7,14.37,3.28,12925.4617,355334
2016/6/14,27823266,4508801432,162.0514799,161,163,161,162,0,10951,11306,11216,2930,3277,90,-347,3.7,14.37,3.28,12946.7844,367355
2016/6/15,29328888,4763332856,162.41096,162,163,161,163,1,9142,11007,11306,2877,2930,-299,-53,3.68,14.46,3.3,12999.9627,362785
2016/6/16,36957340,5942664024,160.7979369,161.5,162.5,159.5,160.5,-2.5,7324,11085,11007,2191,2877,78,-686,3.74,14.24,3.25,13016.1036,363176
2016/6/17,31326264,5117145004,163.349993,162.5,164.5,162,163,2.5,9885,10661,11085,2062,2191,-424,-129,3.68,14.46,3.3,12988.2368,365151
2016/6/20,24949407,4090155341,163.9379782,164.5,165,163,163,0,8639,10763,10661,1436,2062,102,-626,3.68,14.46,3.3,13008.0294,357187
2016/6/21,28042486,4621986401,164.8208508,164,165.5,163.5,165.5,2.5,10369,10428,10763,75,1436,-335,-1361,3.63,14.69,3.35,12975.6315,352630
2016/6/22,30409069,5013175385,164.8579042,164.5,166,163.5,166,0.5,8180,10708,10428,0,75,280,-75,3.61,14.73,3.36,13013.9755,346319
2016/6/23,22592551,3715357864,164.4505689,165.5,166,164,164,-2,8298,11244,10708,0,0,536,0,3.66,14.55,3.32,13042.3439,346931
2016/6/24,86994060,13854488100,159.2578631,164,164,154.5,159,-5,27192,13072,11244,0,0,1828,0,3.77,14.11,3.22,12911.272,327167
