,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-04-01,598.0,602.0,594.0,602.0,602.0,43091157
1,2021-04-07,614.0,614.0,608.0,610.0,610.0,24603109
2,2021-04-08,606.0,613.0,603.0,613.0,613.0,23976625
3,2021-04-09,618.0,618.0,609.0,610.0,610.0,27303862
4,2021-04-12,612.0,613.0,603.0,605.0,605.0,22606128
5,2021-04-13,604.0,613.0,604.0,605.0,605.0,25971622
6,2021-04-14,608.0,612.0,600.0,612.0,612.0,30077913
7,2021-04-15,612.0,619.0,607.0,619.0,619.0,33530942
8,2021-04-16,610.0,611.0,603.0,610.0,610.0,48507383
9,2021-04-19,605.0,607.0,601.0,603.0,603.0,24231637
10,2021-04-20,598.0,602.0,595.0,602.0,602.0,34771635
11,2021-04-21,599.0,599.0,592.0,592.0,592.0,38458220
12,2021-04-22,596.0,598.0,591.0,591.0,591.0,33868521
13,2021-04-23,592.0,602.0,590.0,602.0,602.0,27754511
14,2021-04-26,605.0,610.0,603.0,610.0,610.0,30887664
15,2021-04-27,608.0,611.0,605.0,610.0,610.0,26317481
16,2021-04-28,606.0,608.0,601.0,602.0,602.0,24024054
17,2021-04-29,609.0,609.0,600.0,600.0,600.0,31828333
18,2021-05-03,595.0,597.0,588.0,588.0,588.0,41762441
19,2021-05-04,588.0,594.0,582.0,591.0,591.0,40273595
20,2021-05-05,594.0,594.0,585.0,585.0,585.0,29254785
21,2021-05-06,590.0,590.0,580.0,587.0,587.0,30725590
22,2021-05-07,594.0,600.0,589.0,599.0,599.0,28075722
23,2021-05-10,596.0,597.0,588.0,589.0,589.0,20434079
24,2021-05-11,579.0,580.0,570.0,571.0,571.0,59349193
25,2021-05-12,567.0,571.0,518.0,560.0,560.0,131741482
26,2021-05-13,547.0,563.0,541.0,547.0,547.0,66765627
27,2021-05-14,556.0,562.0,552.0,557.0,557.0,37533726
28,2021-05-17,544.0,558.0,541.0,549.0,549.0,56270958
29,2021-05-18,563.0,573.0,555.0,572.0,572.0,43689316
30,2021-05-19,571.0,572.0,565.0,567.0,567.0,28908777
31,2021-05-20,567.0,571.0,560.0,567.0,567.0,29971606
